,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q38,q25,q26,q27,q28,q29,q39,q40,q37,q30,q31,q32,q33,q34,q35,q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight,fire_gays_per,fire_gays_court,fire_trans_per,fire_trans_court,daca_per,daca_court,handguns_per,handguns_court,scholarships_per,scholarships_court,abortion_per,abortion_court,trump_congress_per,trump_congress_court,trump_state_per,trump_state_court,cfpb_per,cfpb_court,electoralcollege_per,electoralcollege_court,contraceptives_per,contraceptives_court,aca_per,aca_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,approval,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_ginsburg,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_alito,ideal_gorsuch,ideal_thomas,ideal_courtmajority,fire_gays_scotus,fire_trans_scotus,daca_scotus,handguns_scotus,scholarships_scotus,abortion_scotus,trump_congress_scotus,trump_state_scotus,cfpb_scotus,electoralcollege_scotus,contraceptives_scotus,aca_scotus,idealg,perception,idealg_sotomayor,idealg_ginsburg,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_alito,idealg_gorsuch,idealg_thomas,idealg_courtmajority
11,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,2,4,1,5,5,1,5,1,3,5,4,82,76,1,3,4,1,1,2,2,6,1,72,4,1,1,4,2,1,2,45,3,4,5,10,3,.,.,.,1,.,.,.,1,2,6,2,7,2,1131836321,2,2020-04-29T02:01:51.119,2020-04-29T02:15:25.003,2020-04-29T02:15:17.368,0.641914368,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,5,1,3,1,5,5,4,82,76,1,3,4,2,1.407093805,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.465734748,1.456528968,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
12,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,6,3,3,5,3,2,3,5,50,63,1,2,3,1,1,1,3,4,1,56,3,1,1,5,3,1,1,39,2,2,1,15,3,.,.,.,1,.,.,.,1,4,5,2,6,11,1131625739,1,2020-04-29T02:06:54.411,2020-04-29T02:16:28.663,2020-04-29T02:16:27.804,0.587022543,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,4,1,1,1,6,0,5,5,3,3,2,3,5,3,5,50,63,1,2,3,3,-1.664464563,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.563636119,-1.557715766,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
13,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,5,1,3,3,2,2,2,4,44,57,1,2,3,1,1,1,1,1,1,42,2,1,1,6,4,5,2,37,3,1,1,7,2,.,.,1,.,.,.,.,1,2,3,2,2,1,1131646479,1,2020-04-29T02:10:20.507,2020-04-29T02:16:30.230,2020-04-29T02:16:26.319,0.447103143,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,1,2,2,3,3,2,4,44,57,1,2,3,1,-1.688093939,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.618619815,-1.577464613,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
14,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,5,2,2,2,4,1,5,3,1,5,1,4,5,4,76,57,1,3,5,1,1,2,2,7,1,77,4,1,1,3,2,1,2,26,2,4,5,4,1,.,.,1,.,.,.,.,1,1,3,1,2,1,1131836411,1,2020-04-29T02:02:42.957,2020-04-29T02:16:33.876,2020-04-29T02:16:22.913,0.641914368,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,3,1,4,1,5,5,4,76,57,1,3,5,2,1.4465728,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.454565815,0.939620818,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
15,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,1,5,5,1,5,1,5,5,5,51,50,1,2,3,1,1,2,3,4,1,69,4,1,1,4,2,1,2,36,1,3,5,9,2,.,.,1,.,.,.,1,.,1,2,2,1,2,1131837445,1,2020-04-29T02:07:30.875,2020-04-29T02:17:15.555,2020-04-29T02:17:14.642,0.641914368,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,5,1,5,1,5,5,5,51,50,1,2,3,3,2.185304454,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,2.189515828,1.786575546,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
16,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,4,1,2,3,1,4,5,3,2,4,2,2,4,4,51,67,4,2,3,1,1,3,3,4,2,66,4,1,1,6,4,5,2,36,1,2,2,10,3,.,.,.,1,.,1,.,.,1,2,2,1,2,1131424301,1,2020-04-29T02:07:16.840,2020-04-29T02:17:27.755,2020-04-29T02:17:21.308,0.531488478,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,2,1,3,0,1,0,4,0,5,1,2,4,3,2,2,2,4,4,4,51,67,4,2,3,3,-0.166987863,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.259175264,-0.24421592,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
17,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,2,2,2,3,1,6,2,2,4,2,4,4,3,50,65,4,2,3,1,1,3,3,4,2,68,4,1,1,3,2,3,2,48,3,1,1,11,3,.,1,.,1,.,.,.,1,1,6,1,1,12,1131837165,1,2020-04-29T02:07:33.642,2020-04-29T02:17:30.963,2020-04-29T02:17:29.974,0.651080906,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,3,0,1,1,6,0,4,5,2,2,4,2,4,4,3,50,65,4,2,3,3,-0.371281394,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.396951569,-0.399030571,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
18,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,4,2,2,2,4,1,5,2,5,4,4,2,3,4,24,72,1,1,2,1,1,1,1,1,1,72,4,1,1,6,4,1,2,37,3,4,5,10,3,.,.,1,.,.,.,.,1,4,5,2,7,10,1131836331,2,2020-04-29T02:01:55.994,2020-04-29T02:17:35.957,2020-04-29T02:17:30.356,0.574538052,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,4,2,4,2,5,4,3,4,24,72,1,1,2,1,-1.695280754,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.579933034,-0.814136098,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
19,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,5,2,1,2,4,5,5,3,2,5,1,5,5,5,77,52,2,3,4,1,1,2,2,7,1,63,3,1,1,3,2,1,2,8,4,1,1,7,2,.,.,.,1,.,1,.,.,4,6,2,7,1,1131842131,1,2020-04-29T02:08:13.860,2020-04-29T02:17:40.169,2020-04-29T02:17:35.146,1.692150235,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,0,2,1,4,1,5,0,5,1,4,5,3,1,5,2,5,5,5,77,52,2,3,4,2,0.611119731,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.616260194,0.622283277,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
20,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,1,5,3,5,2,3,2,5,98,1,1,1,1,1,1,4,3,1,35,2,1,1,5,3,5,2,55,2,1,1,97,4,.,.,.,.,1,.,.,1,4,6,2,6,11,1131367861,1,2020-04-29T02:11:01.972,2020-04-29T02:17:48.775,2020-04-29T02:17:45.153,0.447103143,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,1,5,2,5,3,3,2,5,98,1,1,1,3,-1.720831364,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.592582008,2.188894502,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
