,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q38,q25,q26,q27,q28,q29,q39,q40,q37,q30,q31,q32,q33,q34,q35,q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight,fire_gays_per,fire_gays_court,fire_trans_per,fire_trans_court,daca_per,daca_court,handguns_per,handguns_court,scholarships_per,scholarships_court,abortion_per,abortion_court,trump_congress_per,trump_congress_court,trump_state_per,trump_state_court,cfpb_per,cfpb_court,electoralcollege_per,electoralcollege_court,contraceptives_per,contraceptives_court,aca_per,aca_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,approval,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_ginsburg,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_alito,ideal_gorsuch,ideal_thomas,ideal_courtmajority,fire_gays_scotus,fire_trans_scotus,daca_scotus,handguns_scotus,scholarships_scotus,abortion_scotus,trump_congress_scotus,trump_state_scotus,cfpb_scotus,electoralcollege_scotus,contraceptives_scotus,aca_scotus,idealg,perception,idealg_sotomayor,idealg_ginsburg,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_alito,idealg_gorsuch,idealg_thomas,idealg_courtmajority
201,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,5,2,2,2,4,1,5,3,2,5,4,4,5,5,66,55,1,3,4,1,1,2,2,6,2,77,4,1,1,3,2,4,2,21,3,3,5,3,1,.,.,.,1,.,.,.,1,3,5,2,3,2,1132358267,1,2020-04-29T20:32:42.677,2020-04-29T20:48:44.416,2020-04-29T20:48:38.139,0.855478346,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,3,4,4,2,5,5,5,66,55,1,3,4,2,1.263546577,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.301960677,0.945170566,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
202,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,2,2,2,4,2,5,3,2,5,4,5,5,5,92,63,1,3,5,1,1,2,2,6,2,62,3,1,1,5,3,2,2,6,4,3,5,9,2,.,.,.,.,1,2,2,1,1,2,1,1,1,1132357403,2,2020-04-29T20:26:39.610,2020-04-29T20:48:54.705,2020-04-29T20:48:46.832,0.622956097,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,2,0,5,1,5,4,3,4,5,2,5,5,5,92,63,1,3,5,2,2.206097105,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,2.171856618,2.187007573,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
203,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,4,2,2,2,4,1,4,2,3,4,2,2,3,4,34,62,1,2,3,1,1,1,1,2,2,34,2,6,4,4,2,5,2,48,3,1,4,5,1,2,2,2,1,2,2,2,1,3,4,2,1,1,1132357783,1,2020-04-29T20:29:12.042,2020-04-29T20:49:25.488,2020-04-29T20:49:15.532,0.489130497,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,4,0,5,4,2,2,2,3,4,3,4,34,62,1,2,3,1,-0.814794881,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.885620886,-0.889177228,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
204,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,2,4,1,6,3,2,4,2,3,4,4,52,58,1,2,3,1,1,1,3,3,1,76,4,1,1,5,3,1,2,51,3,4,5,11,3,2,2,1,1,2,.,.,1,4,6,2,7,9,1132358761,2,2020-04-29T20:36:21.989,2020-04-29T20:49:24.788,2020-04-29T20:49:17.621,0.574538052,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,6,0,5,5,3,2,3,2,4,4,4,52,58,1,2,3,3,-1.234089529,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.171301348,-0.203075081,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
205,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,3,2,2,2,1,5,4,3,2,4,2,3,4,4,90,51,1,3,5,1,1,2,2,7,2,75,4,6,4,3,2,3,2,27,2,1,5,3,1,.,.,.,1,.,.,.,1,2,5,1,1,11,1132350465,2,2020-04-29T20:22:01.830,2020-04-29T20:49:29.793,2020-04-29T20:49:29.122,0.855478346,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,0,5,0,4,0,3,3,3,2,3,2,4,4,4,90,51,1,3,5,2,1.41082589,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.454636642,1.451910395,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
206,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,5,2,2,2,4,1,4,2,4,5,3,2,2,5,26,50,1,1,1,1,1,1,1,1,2,72,4,1,1,5,3,3,2,29,2,2,5,5,1,.,.,.,1,.,.,.,1,2,2,2,3,1,1132357557,2,2020-04-29T20:27:36.942,2020-04-29T20:49:42.527,2020-04-29T20:49:37.815,0.587680399,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,4,1,1,1,4,0,5,5,2,3,2,4,5,2,5,26,50,1,1,1,1,-1.204969348,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.165926439,-0.314653258,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
207,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,2,4,1,5,1,3,5,2,2,4,4,51,49,1,3,5,1,1,2,3,5,1,81,4,1,1,3,2,1,2,21,3,2,3,7,2,.,.,1,1,.,.,.,1,1,1,1,1,1,1132358243,2,2020-04-29T20:32:35.229,2020-04-29T20:49:53.167,2020-04-29T20:49:22.504,0.641914368,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,1,2,2,3,5,4,4,51,49,1,3,5,3,2.191536866,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,2.179880502,1.603424901,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
208,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,2,4,1,5,5,2,5,2,4,5,5,55,44,1,2,3,1,1,2,3,4,1,67,4,1,1,5,3,1,2,45,3,1,9,97,4,.,.,1,.,.,.,.,1,3,4,2,4,1,1132358523,2,2020-04-29T20:34:45.515,2020-04-29T20:49:57.792,2020-04-29T20:49:57.111,0.524005711,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,5,2,4,2,5,5,5,55,44,1,2,3,3,1.113879658,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.139566004,1.13445173,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
209,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,4,2,2,2,4,1,5,1,2,4,2,3,3,4,50,54,1,2,3,2,2,4,3,4,1,85,4,4,4,4,2,4,2,11,3,1,5,5,1,.,.,.,.,1,.,.,1,1,1,2,1,2,1132357691,1,2020-04-29T20:28:30.631,2020-04-29T20:50:14.553,2020-04-29T20:50:04.698,4.502037525,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,4,1,2,3,2,4,3,4,50,54,1,2,3,3,0.999827757,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.048506896,1.059348352,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
210,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,5,2,2,2,4,1,5,3,2,5,1,4,5,5,80,60,1,3,4,1,1,2,2,7,1,64,3,1,1,5,3,1,2,51,3,2,1,10,3,.,1,1,.,.,.,.,1,2,2,2,1,2,1132081337,2,2020-04-29T20:39:07.822,2020-04-29T20:50:18.740,2020-04-29T20:50:13.629,0.535392165,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,3,1,4,2,5,5,5,80,60,1,3,4,2,1.412885017,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.461540308,0.567575237,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
211,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,2,2,2,4,1,6,2,2,4,4,2,2,3,95,56,1,3,5,1,1,2,2,7,1,75,4,1,1,6,4,1,2,46,2,1,5,5,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1132358161,2,2020-04-29T20:31:59.818,2020-04-29T20:50:20.094,2020-04-29T20:50:13.769,0.524005711,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,6,0,5,4,2,4,2,2,4,2,3,95,56,1,3,5,2,2.186188369,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,2.166927781,2.194240172,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
212,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,1,5,4,1,5,1,2,4,4,82,67,1,3,5,1,1,2,2,7,2,59,3,1,1,6,4,5,2,47,3,3,1,5,1,.,.,.,1,.,.,.,1,1,2,1,1,1,1132358855,1,2020-04-29T20:36:59.121,2020-04-29T20:50:25.729,2020-04-29T20:50:25.002,0.622956097,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,4,1,2,1,5,4,4,82,67,1,3,5,2,0.785106312,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.832089563,0.15300117,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
213,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,1,4,5,4,2,5,5,25,80,1,1,2,1,1,1,1,1,2,72,4,1,1,5,3,3,2,47,3,4,1,4,1,.,.,.,1,.,.,.,1,3,5,2,6,12,1132348651,1,2020-04-29T20:18:58.497,2020-04-29T20:50:27.840,2020-04-29T20:50:19.418,0.587680399,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,1,4,2,4,5,5,5,25,80,1,1,2,1,-1.703013498,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.589739204,0.53999558,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
214,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,2,4,1,5,5,1,5,1,5,5,5,76,50,1,3,5,1,1,2,2,7,1,66,4,1,1,2,1,1,1,30,4,3,5,9,2,.,.,.,1,.,.,.,1,1,5,2,6,12,1132251921,2,2020-04-29T20:27:44.056,2020-04-29T20:50:51.593,2020-04-29T20:50:40.655,0.58826071,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,4,1,1,1,5,1,6,5,5,1,5,1,5,5,5,76,50,1,3,5,2,0.696446302,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.722913744,0.7216678,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
215,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,4,2,2,2,4,1,6,1,4,5,3,4,5,4,50,66,1,2,3,1,1,2,3,5,1,72,4,1,1,3,2,1,2,27,2,3,5,8,2,.,1,1,.,.,.,.,1,1,1,1,2,1,1132357935,2,2020-04-29T20:30:05.607,2020-04-29T20:50:52.336,2020-04-29T20:50:34.192,0.641914368,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,1,4,1,1,1,6,0,5,4,1,3,4,4,5,5,4,50,66,1,2,3,3,0.625686058,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.662864246,0.654025855,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
216,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,4,2,2,2,3,1,5,1,3,3,3,2,2,2,41,73,2,1,2,1,1,1,1,2,2,81,4,1,1,5,3,4,2,17,2,4,5,4,1,.,.,.,1,.,.,.,1,1,2,2,1,2,1132359235,1,2020-04-29T20:40:08.159,2020-04-29T20:50:57.718,2020-04-29T20:50:56.962,1.516236901,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,3,0,1,1,5,1,5,4,1,3,2,3,3,2,2,41,73,2,1,2,1,-0.555140833,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.602945494,-0.284389361,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
217,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,4,3,1,3,4,1,3,1,5,1,3,1,1,3,50,49,3,4,6,1,1,4,2,7,2,53,3,1,1,2,1,1,2,29,2,4,7,7,2,.,.,.,.,1,.,.,1,1,5,1,6,12,1132357743,2,2020-04-29T20:29:02.627,2020-04-29T20:51:24.416,2020-04-29T20:51:22.832,1.160640597,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3,0,1,0,3,0,4,1,1,1,3,0,2,4,1,3,1,5,1,1,3,50,49,3,4,6,2,0.935059536,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.92264012,0.655104258,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
218,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,2,4,5,3,3,4,5,10,72,1,1,1,1,1,1,1,1,1,74,4,1,1,6,4,1,2,6,4,3,5,10,3,.,.,.,1,.,2,2,1,3,6,2,6,10,1130348791,1,2020-04-29T20:34:49.646,2020-04-29T20:51:44.702,2020-04-29T20:51:27.831,0.574538052,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,2,3,3,4,5,4,5,10,72,1,1,1,1,-1.705899887,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.576367078,-0.211395078,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
219,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,3,2,2,2,4,1,5,1,4,4,4,1,2,3,38,77,2,2,3,1,1,1,3,4,2,54,3,1,1,3,2,1,2,25,1,3,5,3,1,.,.,.,1,.,.,.,1,1,4,2,1,5,1132359153,1,2020-04-29T20:39:25.742,2020-04-29T20:51:47.505,2020-04-29T20:51:43.694,1.656905174,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,3,1,4,1,4,4,2,3,38,77,2,2,3,3,-0.983008125,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.983786678,0.3026197,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
220,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,3,2,2,2,4,1,4,2,2,2,3,2,2,3,51,76,1,2,3,1,1,4,3,4,2,70,4,1,1,3,2,1,2,12,3,2,5,10,3,.,.,.,.,1,.,.,1,2,4,1,6,1,1132357673,2,2020-04-29T20:28:26.085,2020-04-29T20:51:59.325,2020-04-29T20:51:49.647,0.59906292,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,4,1,1,1,4,0,5,3,2,3,2,2,2,2,3,51,76,1,2,3,3,0.188394145,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.177460858,0.380743147,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
221,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,3,1,2,1,4,6,6,3,2,3,2,1,3,3,51,51,2,1,2,1,1,1,1,2,1,32,2,1,1,6,4,1,1,13,3,1,1,10,3,.,.,.,.,1,.,.,1,2,2,2,4,2,1131685757,1,2020-04-29T20:30:39.439,2020-04-29T20:52:00.919,2020-04-29T20:51:50.710,1.153542399,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,0,2,1,1,0,4,1,6,0,6,0,2,3,3,2,1,2,3,3,3,51,51,2,1,2,1,-1.342536301,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.324488988,-1.328368769,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
222,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,3,2,2,4,1,5,3,2,4,2,3,3,3,97,72,1,3,5,1,1,2,2,7,2,71,4,1,1,4,2,1,2,48,3,1,5,9,2,.,.,.,1,.,.,.,1,1,2,1,1,1,1132357463,2,2020-04-29T20:27:03.131,2020-04-29T20:52:29.744,2020-04-29T20:52:22.004,0.855478346,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,0,2,1,2,1,4,1,1,1,5,1,5,4,3,2,3,2,4,3,3,97,72,1,3,5,2,0.585910988,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,0.587239009,0.587968205,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
223,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,3,2,1,2,4,1,5,5,1,4,2,2,4,5,77,48,1,3,4,1,1,2,2,7,2,70,4,1,1,2,1,1,2,29,2,4,5,4,1,.,.,.,1,.,.,.,1,3,6,2,6,11,1132358771,1,2020-04-29T20:36:24.776,2020-04-29T20:52:45.377,2020-04-29T20:52:44.954,0.78397423,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,0,2,1,4,1,1,1,5,1,5,3,5,2,2,1,4,4,5,77,48,1,3,4,2,0.989434402,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.013075286,0.709990131,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
224,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,4,2,2,2,4,1,5,1,3,3,4,1,3,3,96,67,1,3,4,1,1,1,3,4,2,64,3,2,2,6,4,1,2,1,3,2,1,11,3,.,.,.,1,.,.,.,1,1,2,1,1,1,1132358555,2,2020-04-29T20:35:04.663,2020-04-29T20:53:01.158,2020-04-29T20:53:00.411,0.497115105,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,4,1,4,1,3,3,3,3,96,67,1,3,4,3,-1.341914037,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.31853898,-1.303656253,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
