,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q25a,q26a,q25b,q26b,q27a,q28a,q27b,q28b,q39,q40_1_1,q40_2_1,q40_3_1,q40_4_1,q40_5_1,q40_6_1,q40_7_1,q40_8_1,q40_9_1,q40_10_1,qdobbs,q29,q30,q31,q32,q33,q34,q35,q36,pid3,pid7,pid7others,q37,q38,q41,q42_1,q42_2,q42_3,q42_4,q43,q44,q45,q46,q47,q48,q49,q50,q51,q52,q53_1,q53_2,q53_3,q53_4,q53_5,q54,q55,q56,q57,newsint,cablenews,ideo3,ideo5,votereg,votereg2,turnout22post,housevote22,votemethod22,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,hispanic,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,weight,affactionprivate_per,affactionprivate_court,affactionpublic_per,affactionpublic_court,fedelections_per,fedelections_court,gaydiscrim_per,gaydiscrim_court,gerrymandering_per,gerrymandering_court,cleanwater_per,cleanwater_court,commerce_per,commerce_court,copyright_per,copyright_court,algorithm_per,algorithm_court,socialmedia_per,socialmedia_court,studentloans_per,studentloans_court,unions_per,unions_court,native_per,native_court,religion_per,religion_court,case_recall,case_remembered_1,case_remembered_2,case_remembered_3,case_remembered_4,case_remembered_5,case_remembered_6,case_remembered_7,case_remembered_8,case_remembered_9,case_remembered_10,dobbs,contraception_per,contraception_court,sodomy_per,sodomy_court,gaymarriage_per,gaymarriage_court,interracial_per,interracial_court,pid3_recoded,pid7_recoded,leaders_mention,leaders_important,court_reputation,leaders_criticize,justices_interpret,justices_education,justices_agree,justices_sameparty,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,approval,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_personal,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,ideal,ideal_sotomayor,ideal_kagan,ideal_jackson,ideal_roberts,ideal_kavanaugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,affactionprivate_scotus,affactionpublic_scotus,fedelections_scotus,gaydiscrim_scotus,gerrymandering_scotus,cleanwater_scotus,commerce_scotus,copyright_scotus,algorithm_scotus,socialmedia_scotus,studentloans_scotus,unions_scotus,native_scotus,religion_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_jackson,idealg_roberts,idealg_kavanaugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
615,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,1,2,2,2,2,2,2,2,5,4,4,.,.,I think is unfair,5,5,5,5,.,1,3,3,3,1,1,10,5,3,3,3,3,3,3,36,42,3,3,7,5,4,6,2,2,1,.,.,2,6,1,2003,20,1,3,3,1,2,1,5,2,18,2,3,2,4,97,4,2,2,2,2,1,2,2,1,2,4,6,2,7,11,1,17:18.8,26:02.9,26:02.7,1.901250362,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,1,2,2,2,2,2,2,2,3,4,.,.,I think is unfair,.,5,5,5,5,3,0,3,0,3,0,1,0,1,0,10,0,0,1,5,3,3,3,3,3,3,36,42,3,3,7,4,6,0.504415079,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.454257236,0.332776243,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
616,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,2,6,.,3,3,helps regulate for the people,2,2,2,2,5,1,3,2,2,2,5,9,1,2,2,3,4,2,2,62,64,3,3,4,5,3,4,1,1,2,.,.,1,2,1,1957,66,4,4,4,2,5,3,1,2,6,4,2,1,2,10,3,2,2,2,2,1,2,1,2,2,4,6,2,7,7,2,11:21.6,27:29.1,27:28.0,0.512965858,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,2,6,3,3,helps regulate for the people,5,2,2,2,2,2,1,3,0,2,1,2,0,5,0,9,0,2,1,1,2,4,2,2,3,2,62,64,3,3,4,3,4,1.044582461,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.215582717,1.196076149,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
617,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,1,2,.,2,3,Not very stellar,3,3,2,2,2,2,3,3,3,4,2,4,3,3,2,2,2,2,3,69,70,3,3,2,1,3,4,1,1,1,1,2,1,1,2,1993,29,1,1,1,2,5,3,5,2,12,3,1,1,3,6,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,19:46.0,30:17.4,30:17.2,1.267374516,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,1,2,2,3,Not very stellar,2,3,3,2,2,3,0,3,0,3,0,4,1,2,1,4,0,2,2,3,3,2,3,2,2,2,69,70,3,3,2,3,4,0.452677946,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.421102296,0.744495666,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
618,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,brown vs board of education,miranda vs arizona,gideon vs wainwright,roe vs wade,dobbs vs jackson,,,,,,2,2,2,2,2,2,1,2,2,1,1,.,3,2,"right now, filled with extremists that were put into the positions to fulfill an agenda. Overall - a court to help interpret laws, and overrule states when they are not doing what is right for their citizens.",1,2,1,5,1,1,2,2,2,4,2,6,1,3,1,3,5,5,3,0,90,2,1,1,5,1,1,1,1,1,1,2,1,1,2,1978,44,2,1,1,2,4,2,3,1,42,1,1,2,1,8,2,2,2,2,2,1,2,2,1,2,2,5,1,1,1,1,07:25.4,30:17.9,30:13.1,0.827854633,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,brown vs board of education,miranda vs arizona,gideon vs wainwright,roe vs wade,dobbs vs jackson,,,,,,2,2,2,2,2,2,1,2,2,1,1,3,2,"right now, filled with extremists that were put into the positions to fulfill an agenda. Overall - a court to help interpret laws, and overrule states when they are not doing what is right for their citizens.",1,1,2,1,5,2,1,2,1,2,1,4,1,2,1,6,1,6,1,1,3,5,3,5,3,1,0,90,2,1,1,1,1,-0.974502841,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.975405266,-0.52569017,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
619,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,2,7,.,1,3,I like it,3,4,4,3,4,2,1,1,1,2,1,6,2,3,2,3,3,2,3,70,82,2,3,1,1,3,4,2,2,2,.,.,2,6,2,1995,27,1,1,1,2,2,1,1,1,48,3,1,2,.,4,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,2,27:38.9,30:38.0,30:37.8,1.392500877,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,2,7,1,3,I like it,4,3,4,4,3,1,0,1,0,1,0,2,0,1,0,6,1,1,2,2,3,3,3,2,3,2,70,82,2,3,1,3,4,0.635361986,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.600093689,-1.478439042,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
620,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,1,Roe vs Wade,,,,,,,,,,1,2,2,2,2,1,2,2,2,2,7,.,3,2,"In general the Supreme Court have ruled what is correctly, which means by following the US Constitution. But at times they have read into constitution what a majority did not see or agree.",2,1,1,2,2,1,2,1,2,4,2,6,2,2,5,4,5,3,2,89,70,5,4,1,2,3,5,1,1,1,2,3,1,2,1,1949,73,4,1,1,2,3,2,4,2,21,3,4,3,5,13,3,2,2,2,1,2,2,2,1,2,1,5,1,1,1,2,44:15.0,32:48.1,32:37.0,0.842263877,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,Roe vs Wade,,,,,,,,,,1,2,2,2,2,1,2,2,2,2,7,3,2,"In general the Supreme Court have ruled what is correctly, which means by following the US Constitution. But at times they have read into constitution what a majority did not see or agree.",2,2,1,1,2,2,1,2,1,1,0,4,1,2,1,6,1,5,1,2,2,5,2,3,4,5,89,70,5,4,1,3,5,1.436034547,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.512776613,0.308901926,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
621,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,2,1,1,1,2,1,2,1,2,.,2,2,It has a good reputation,3,1,1,2,2,5,1,2,1,4,2,5,2,2,1,2,4,3,2,67,48,2,1,2,1,1,2,2,2,.,.,.,2,6,2,1998,24,1,5,4,2,1,1,5,2,13,3,1,2,.,10,3,2,2,2,2,1,2,2,1,2,1,4,2,2,11,2,25:34.4,32:50.9,32:50.8,1.4545784,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,2,1,1,1,2,1,2,1,2,2,2,It has a good reputation,2,3,1,1,2,1,0,1,0,2,1,4,1,2,1,5,0,3,5,2,2,4,2,3,2,1,67,48,2,1,2,1,2,-1.222160833,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.241761883,-0.356678309,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
622,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,1,Roe v Wade,Plessy v Ferguson,Brown v Board of Education,Dred Scott decision,Virginia Inter-racial Marriage Case,Bakke Reverse Racism Case,Case overturning Roe v Wade making abortion illegal,,,,2,2,2,2,2,2,2,2,2,1,1,.,2,2,I think the Supreme Court should be an objective body making decisions based on knowledge of and interpretation of the constitution and the laws in place. The court should also give thoughtful consideration to the effects of their decisions on the citizens of the country. However it seems that the Court has more of a reputation for often being more subjective and influenced by politics in their rulings.,2,2,1,3,2,1,2,2,2,4,2,6,1,2,3,2,4,2,3,15,65,2,2,2,3,1,2,1,1,1,1,2,1,1,2,1958,65,4,2,2,2,5,3,1,2,10,3,2,1,2,11,3,2,2,2,1,2,2,2,1,2,3,5,2,3,1,2,55:38.6,33:45.9,33:45.4,0.649713337,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,Roe v Wade,Plessy v Ferguson,Brown v Board of Education,Dred Scott decision,Virginia Inter-racial Marriage Case,Bakke Reverse Racism Case,Case overturning Roe v Wade making abortion illegal,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,I think the Supreme Court should be an objective body making decisions based on knowledge of and interpretation of the constitution and the laws in place. The court should also give thoughtful consideration to the effects of their decisions on the citizens of the country. However it seems that the Court has more of a reputation for often being more subjective and influenced by politics in their rulings.,2,2,2,1,3,2,1,2,1,2,1,4,1,2,1,6,1,6,1,1,2,4,3,2,2,3,15,65,2,2,2,1,2,-1.583577285,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.542100341,-1.644141349,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
623,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,1,Roe V Wade,Plessy V Ferguson,,,,,,,,,2,2,2,2,2,2,1,2,2,3,3,.,.,.,Currently they are conservative leaning and a threat to Americans.,2,3,1,4,.,2,2,2,2,2,5,5,1,3,4,4,4,2,1,40,69,4,1,2,5,2,3,1,1,1,1,4,1,1,2,1994,29,1,1,1,2,6,4,5,2,17,2,1,2,1,6,2,2,2,2,2,1,2,2,1,2,1,5,1,3,1,2,10:53.8,35:30.9,35:30.7,1.315752506,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,Roe V Wade,Plessy V Ferguson,,,,,,,,,2,2,2,2,2,2,1,2,2,3,3,.,.,Currently they are conservative leaning and a threat to Americans.,.,2,3,1,4,2,1,2,1,2,1,2,0,5,0,5,0,3,2,1,3,4,1,2,4,4,40,69,4,1,2,2,3,-0.790349058,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.697055432,-0.385243709,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
624,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,2,3,4,5,6,7,8,9,10,1,1,1,1,1,1,1,1,1,1,1,.,1,2,very good,1,1,2,2,1,1,1,1,1,2,1,8,1,1,1,2,2,2,2,24,15,1,1,2,1,3,5,1,1,1,1,1,1,1,1,1998,25,1,3,3,1,5,3,1,2,6,4,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,5,1,31:19.1,37:35.9,37:35.8,0.45712781,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,1,1,1,1,1,1,1,1,1,1,1,1,2,very good,1,1,1,2,2,1,0,1,0,1,0,2,0,1,0,8,0,0,1,1,1,2,2,2,2,1,24,15,1,1,2,3,5,0.786665645,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.881390066,1.409809497,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
625,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,2,.,1,2,Biss,1,1,1,1,1,3,1,1,1,4,4,6,1,5,2,1,5,1,5,7,87,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1947,76,4,1,1,2,3,2,1,2,27,2,2,1,5,97,4,2,2,1,2,2,2,2,1,1,4,6,2,7,9,2,50:40.5,39:19.8,39:13.6,1.129170775,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,2,1,2,Biss,1,1,1,1,1,1,0,1,0,1,0,4,1,4,0,6,1,2,3,1,5,5,5,1,1,2,7,87,1,1,1,1,2,-0.500584671,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.466663259,-0.816835679,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
626,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,2,1,1,1,2,2,3,4,.,.,.,the reputation of the Supreme Court has diminished in recent years due to the fact that the democrats want to use it for their sole benefit.,2,3,1,3,.,1,2,2,2,4,2,3,4,3,5,5,5,5,2,76,60,5,5,1,2,2,3,1,1,1,3,3,1,2,1,1946,76,4,7,4,2,4,2,1,2,53,4,4,1,5,4,1,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,53:23.8,42:26.0,42:13.4,0.409681052,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,2,1,1,1,2,2,3,4,.,.,the reputation of the Supreme Court has diminished in recent years due to the fact that the democrats want to use it for their sole benefit.,.,2,3,1,3,2,1,2,1,2,1,4,1,2,1,3,0,5,1,4,3,5,2,5,5,5,76,60,5,5,1,2,3,0.706950888,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.733868142,1.096738098,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
627,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,Roe v. Wade,,,,,,,,,,1,2,2,2,2,1,2,2,2,2,7,.,3,1,"The current reputation isn't as good as it used to be, I don't think. The court seems to be more politically motivated than it used to be. The Constitution should be its ONLY guide, not public opinion or politics!",1,2,1,3,3,1,2,2,2,4,2,6,2,2,4,4,3,3,2,99,60,5,3,1,4,3,5,1,1,1,2,4,1,2,2,1950,72,4,1,1,2,5,3,1,2,27,2,4,1,5,97,4,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,23:18.4,43:45.3,43:39.3,1.173029423,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,Roe v. Wade,,,,,,,,,,1,2,2,2,2,1,2,2,2,2,7,3,1,"The current reputation isn't as good as it used to be, I don't think. The court seems to be more politically motivated than it used to be. The Constitution should be its ONLY guide, not public opinion or politics!",3,1,2,1,3,2,1,2,1,2,1,4,1,2,1,6,1,6,1,2,2,3,2,3,4,4,99,60,5,3,1,3,5,1.82019702,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.79032983,1.751259368,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
628,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,1,2,2,2,2,1,1,3,4,.,.,.,"The Supreme Court is the best court, and I believe that they will present the best solutions to thorny problems and issues that are in line with the people's demands in a legal manner, and we hope that they will be fair.",2,1,3,4,.,2,1,2,2,1,3,8,2,3,1,3,4,1,2,38,75,1,2,3,2,2,3,1,1,2,.,.,1,2,1,1997,25,1,1,1,2,2,1,1,2,36,1,2,2,2,97,4,2,2,2,1,2,2,2,1,2,3,5,1,8,1,2,20:14.1,43:58.9,43:58.8,0.533157527,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,1,2,2,2,2,1,1,3,4,.,.,"The Supreme Court is the best court, and I believe that they will present the best solutions to thorny problems and issues that are in line with the people's demands in a legal manner, and we hope that they will be fair.",.,2,1,3,4,2,1,1,0,2,1,1,0,3,0,8,0,2,2,2,3,4,2,1,3,1,38,75,1,2,3,2,3,0.832245716,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.863783922,0.159735248,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
629,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,1,Roe v Wade,,,,,,,,,,2,2,2,2,2,1,2,2,2,1,1,.,4,3,Too conservative.,1,2,1,2,3,2,2,2,2,4,2,5,1,4,1,3,4,2,2,50,80,1,3,1,5,2,3,1,1,1,1,1,1,1,2,1957,66,4,1,3,1,3,2,5,2,12,3,4,1,4,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,27:34.3,44:45.6,44:42.0,0.463910162,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,Roe v Wade,,,,,,,,,,2,2,2,2,2,1,2,2,2,1,1,4,3,Too conservative.,3,1,2,1,2,2,1,2,1,2,1,4,1,2,1,5,0,5,2,1,4,4,2,2,3,1,50,80,1,3,1,2,3,-0.406850755,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.272137667,0.419606566,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
630,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,roe vs wade,,,,,,,,,,2,2,1,2,2,2,1,2,2,1,1,.,2,1,The current supreme court is going beyond the checks and measures given to them undoing previous cases,1,2,1,3,3,2,1,3,1,1,2,6,1,5,2,2,4,1,4,2,89,3,1,1,4,1,1,1,1,1,1,2,1,1,2,1981,42,2,1,1,2,4,2,5,2,9,1,1,1,3,4,1,2,2,2,1,2,2,2,1,1,3,4,2,6,12,1,18:49.4,45:57.7,45:57.1,0.827854633,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,roe vs wade,,,,,,,,,,2,2,1,2,2,2,1,2,2,1,1,2,1,The current supreme court is going beyond the checks and measures given to them undoing previous cases,3,1,2,1,3,1,0,1,0,3,0,1,0,2,1,6,1,2,2,1,5,4,4,1,2,2,2,89,3,1,1,1,1,-1.659192628,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.548018888,-0.512432592,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
