id,male,age,education,party,dealdebt,tea
991,1,40,4,3,1,0
992,0,56,3,2,1,0
993,0,53,2,2,1,1
994,1,68,4,2,3,0
995,1,31,2,1,1,0
996,1,64,1,2,3,0
997,1,23,3,3,1,1
998,1,28,4,2,1,1
999,0,47,4,1,3,0
1000,0,27,4,3,3,1
1001,0,29,3,2,1,0
1002,1,21,3,3,3,0
1003,0,39,3,2,2,0
1004,1,83,1,1,1,1
1005,0,40,4,2,3,0
1006,0,70,3,1,3,0
1007,0,49,3,3,1,1
1008,1,21,2,2,3,0
1009,1,77,4,1,2,0
1010,0,70,4,3,1,1
1011,1,25,4,2,1,0
1012,0,42,4,1,1,0
1013,1,58,4,1,3,0
1014,1,28,4,1,3,0
1015,0,22,2,2,1,1
1016,1,48,4,2,3,1
1017,1,80,1,1,1,0
1018,1,62,3,3,1,0
1019,0,22,3,1,1,0
1020,0,67,4,3,1,1
1021,0,57,3,1,3,0
1022,0,39,4,1,3,0
1023,0,42,4,1,1,0
1024,0,33,4,1,3,0
1025,0,45,1,2,3,1
1026,0,54,4,2,1,0
1027,0,80,4,1,3,0
1028,1,20,3,2,1,1
1029,1,79,3,3,1,1
1030,1,45,3,2,1,1
1031,0,22,3,3,1,0
1032,1,55,4,1,3,1
1033,1,88,4,1,2,0
1034,1,55,4,2,1,1
1035,1,34,4,2,3,1
1036,0,34,2,3,1,0
1037,1,41,4,1,3,0
1038,0,27,4,3,1,0
1039,0,50,2,2,3,0
1040,1,28,4,1,1,0
1041,1,42,3,1,1,0
1042,1,60,2,3,3,1
1043,0,48,3,1,1,0
1044,0,45,4,2,1,1
1045,1,52,4,2,2,0
1046,0,40,4,3,1,1
1047,0,55,2,1,1,1
1048,0,43,4,2,1,1
1049,0,75,4,2,1,1
1050,0,49,3,2,1,0
1051,0,27,3,2,1,1
1052,1,46,3,3,1,1
1053,0,31,2,2,1,0
1054,0,39,3,2,3,0
1055,1,49,3,2,3,0
1056,0,65,3,2,1,1
1057,1,47,4,3,3,0
1058,0,31,4,1,2,0
1059,1,62,2,1,1,1
1060,1,52,2,1,2,0
1061,1,53,4,2,1,1
1062,1,61,3,1,1,1
1063,1,65,3,3,1,1
1064,1,67,4,2,1,1
1065,1,25,2,1,2,0
1066,0,44,1,2,1,0
1067,1,19,3,1,1,0
1068,0,64,3,2,3,0
1069,1,53,3,2,1,1
1070,0,54,4,2,3,0
1071,0,23,3,2,2,0
1072,0,52,3,1,3,0
1073,0,75,2,2,3,1
1074,0,81,4,2,3,0
1075,0,36,3,3,1,1
1076,0,35,4,1,3,0
1077,1,76,4,2,1,0
1078,0,30,4,3,1,1
1079,0,34,3,2,1,0
1080,1,83,4,2,1,0
1081,0,46,3,2,1,1
1082,1,76,4,1,3,0
1083,1,65,3,2,1,1
1084,0,32,4,1,1,0
1085,0,41,1,2,3,0
1086,1,18,1,2,1,1
1087,0,68,2,2,3,0
1088,0,20,3,2,1,1
1089,0,18,2,2,1,0
1090,1,34,4,2,1,0
1091,1,62,4,1,3,0
1092,0,51,3,2,3,0
1093,1,73,4,3,3,1
1094,1,71,2,2,3,0
1095,1,68,2,2,3,0
1096,0,35,4,1,3,0
1097,0,45,4,2,1,0
1098,0,67,2,1,1,0
1099,0,49,4,2,3,1
1100,1,62,4,2,1,1
1101,0,54,2,1,1,0
1102,1,33,4,2,3,0
1103,0,66,2,1,3,0
1104,0,29,4,1,3,0
1105,0,63,3,2,3,1
1106,1,52,3,1,2,0
1107,1,51,3,1,3,0
1108,0,71,4,3,3,1
1109,1,28,2,3,1,0
1110,1,51,3,2,1,1
1111,0,48,2,2,3,0
1112,0,25,4,2,1,0
1113,0,56,3,2,3,0
1114,0,55,3,1,3,0
1115,0,41,3,2,1,1
1116,0,42,3,1,3,0
1117,0,49,3,3,3,1
1118,0,40,4,3,1,0
1119,1,68,2,3,1,1
1120,0,76,4,1,3,0
1121,0,49,3,2,1,1
1122,0,77,2,3,1,1
1123,0,69,4,2,3,1
1124,0,65,4,1,3,0
1125,1,66,4,2,3,0
1126,1,51,1,1,1,0
1127,0,64,2,1,1,0
1128,0,74,1,2,3,0
1129,1,55,3,1,3,0
1130,1,69,4,2,1,1
1131,1,36,4,1,3,0
1132,1,47,2,3,2,0
1133,0,53,3,3,1,1
1134,1,45,4,2,1,1
1135,0,64,4,1,3,0
1136,0,48,3,2,1,0
1137,0,57,4,1,3,0
1138,0,47,3,3,3,0
1139,0,49,2,1,3,0
1140,0,51,3,3,3,1
1141,0,38,3,2,2,0
1142,1,54,3,2,3,0
1143,0,43,3,3,3,1
1144,0,67,3,1,1,0
1145,1,80,3,3,1,1
1146,0,51,3,1,1,0
1147,0,51,2,2,3,0
1148,1,46,4,3,1,1
1149,1,72,3,3,1,1
1150,0,33,4,2,1,1
1151,1,49,3,3,3,1
1152,0,63,3,3,1,1
1153,1,29,4,1,1,0
1154,0,22,3,2,1,1
1155,1,50,3,3,1,1
1156,1,46,4,1,3,0
1157,0,62,2,1,3,0
1158,1,86,3,2,1,0
1159,1,60,3,2,3,0
1160,1,63,4,1,3,0
1161,1,71,4,1,1,0
1162,0,39,2,3,1,0
1163,0,49,2,1,3,0
1164,0,72,2,3,1,0
1165,1,67,4,1,3,0
1166,1,54,4,1,2,0
1167,1,69,4,2,1,0
1168,0,39,2,2,1,0
1169,1,53,4,1,3,1
1170,0,65,2,3,1,0
1171,1,85,4,2,1,1
1172,0,36,4,2,3,1
1173,0,19,2,1,3,0
1174,0,65,2,2,3,1
1175,1,41,4,2,1,0
1176,1,30,3,1,1,0
1177,1,50,3,1,3,0
1178,1,33,3,1,1,0
1179,0,27,3,2,1,1
1180,1,53,4,3,1,0
1181,1,81,4,2,1,1
1182,0,27,3,1,3,0
1183,0,65,1,3,1,0
1184,1,27,3,1,3,0
1185,0,69,3,2,1,1
1186,0,79,3,1,3,0
1187,0,56,4,1,1,0
1188,0,32,4,2,1,0
1189,0,41,4,1,1,0
1190,0,30,4,1,1,0
1191,1,73,1,1,3,0
