id,male,age,education,party,dealdebt,tea
228,0,20,2,2,1,0
229,0,29,4,2,3,1
230,0,68,3,1,2,0
231,1,53,1,2,1,0
232,1,39,4,2,1,1
233,1,24,4,3,3,0
234,0,36,4,2,1,0
235,0,67,2,1,1,0
236,0,59,4,1,3,0
237,1,40,3,3,1,1
238,0,49,4,2,3,1
239,1,41,4,1,3,0
240,1,59,4,2,3,0
241,1,29,3,2,1,0
242,0,56,3,1,3,0
243,1,25,2,1,3,0
244,1,58,3,2,3,1
245,0,40,3,2,1,0
246,1,45,3,3,1,1
247,0,57,2,2,1,0
248,1,33,3,1,1,0
249,1,67,4,1,3,0
250,1,72,3,3,1,1
251,1,51,4,2,3,0
252,0,69,3,2,1,1
253,1,28,3,1,3,0
254,0,81,4,1,2,0
255,0,52,4,1,1,0
256,0,42,3,3,1,1
257,0,61,3,3,3,1
258,0,47,3,1,2,0
259,0,35,4,3,3,1
260,0,74,4,2,1,1
261,0,49,3,2,1,1
262,1,27,4,3,1,0
263,1,43,3,3,1,0
264,0,71,2,2,1,0
265,1,54,4,2,1,0
266,0,77,3,3,3,1
267,1,53,2,1,3,0
268,0,36,4,1,2,0
269,1,56,3,3,1,1
270,1,38,4,3,1,1
271,1,64,3,2,3,0
272,1,22,3,2,1,1
273,1,60,3,1,3,0
274,0,55,4,2,3,0
275,0,49,3,3,1,1
276,1,55,4,1,3,0
277,0,64,4,1,2,0
278,1,64,3,3,1,1
279,1,29,3,2,1,0
280,1,68,4,2,3,0
281,1,53,4,3,1,1
282,1,54,4,2,3,0
283,1,56,4,3,1,1
284,1,43,2,3,1,1
285,0,63,2,3,1,1
286,0,48,2,1,1,0
287,0,71,4,1,3,0
288,0,43,2,2,3,0
289,1,21,1,3,1,1
290,1,43,3,2,1,1
291,1,62,3,1,1,0
292,0,64,3,3,1,1
293,0,19,2,2,1,0
294,0,59,4,3,1,1
295,0,21,3,1,3,0
296,1,64,4,2,3,0
297,1,40,3,2,1,0
298,1,52,2,1,3,0
299,1,31,2,2,1,0
300,1,71,4,2,3,0
301,0,60,4,2,3,0
302,1,19,3,1,3,0
303,1,69,3,2,1,1
304,0,61,3,2,3,0
305,1,54,4,2,1,1
306,0,73,2,3,1,1
307,0,54,4,1,3,0
308,0,77,4,3,1,1
309,0,23,4,1,3,0
310,0,54,2,3,3,1
311,1,63,4,2,1,1
312,0,58,4,3,1,0
313,0,43,3,3,3,0
314,1,20,3,1,1,1
315,0,59,4,2,3,1
316,1,22,2,2,1,0
317,0,59,4,3,1,1
318,1,51,3,2,3,0
319,0,41,3,2,1,0
320,0,82,3,1,3,0
321,1,59,4,2,3,0
322,1,52,2,3,1,1
323,0,58,2,1,1,0
324,0,72,4,3,1,1
325,0,33,1,2,1,0
326,1,71,4,2,1,1
327,0,31,3,2,1,0
328,1,55,2,3,3,0
329,1,40,4,3,1,1
330,1,64,2,2,1,1
331,0,60,3,3,1,1
332,0,67,3,1,3,0
333,0,47,3,1,3,0
334,1,85,2,1,3,0
335,1,67,3,3,1,0
336,0,22,3,1,1,0
337,0,37,3,2,3,0
338,0,42,4,2,3,0
339,0,38,4,1,3,0
340,1,58,4,2,3,0
341,1,50,2,2,1,0
342,0,52,2,2,1,0
343,0,31,4,2,1,1
344,0,56,4,1,3,0
345,0,57,4,3,1,1
346,0,70,2,3,1,1
347,0,30,3,1,3,0
348,0,68,3,1,3,0
349,0,29,4,2,1,0
350,0,62,4,2,1,0
351,0,35,4,3,1,0
352,1,57,4,3,3,0
353,1,31,1,2,1,0
354,0,33,4,2,1,0
355,1,59,3,2,1,1
356,1,68,4,3,1,1
357,0,25,2,2,1,0
358,1,59,4,1,3,0
359,1,59,4,1,3,0
360,1,62,4,3,1,1
361,1,69,4,2,3,1
362,0,55,4,1,3,0
363,1,33,3,3,3,1
364,0,45,2,3,1,1
365,1,31,4,3,1,1
366,0,74,3,1,1,1
367,0,35,3,1,3,0
368,1,21,3,1,1,0
369,0,60,4,3,1,1
370,0,64,4,3,1,1
371,0,85,2,1,3,0
372,0,53,3,3,1,1
373,0,69,2,1,1,0
374,0,61,1,1,3,0
375,0,65,4,2,3,0
376,0,56,3,2,3,0
377,1,69,2,2,1,0
378,0,61,2,1,1,0
379,0,39,4,1,3,0
380,0,49,3,2,1,1
381,0,69,3,2,3,0
382,1,26,3,2,2,0
383,0,56,4,2,1,0
384,0,63,1,1,1,0
385,0,31,4,2,1,1
