country,isocode,year,demo,gdppc
Sudan,SDN,1960,0,507.403
Sudan,SDN,2009,0,779.268
Sweden,SWE,1960,1,14909.6
Sweden,SWE,2009,1,40534.5
Switzerland,CHE,1960,1,27071.1
Switzerland,CHE,2009,1,53630.9
Syria,SYR,1960,0,563.065
Syria,SYR,2009,0,1686.93
Thailand,THA,1960,0,358.925
Thailand,THA,2009,0,2940.22
Togo,TGO,1960,0,272.528
Togo,TGO,2009,0,387.693
Tunisia,TUN,1960,0,793.725
Tunisia,TUN,2009,0,3734.95
Turkey,TUR,1960,0,2345.64
Turkey,TUR,2009,1,7266.69
United Kingdom,GBR,1960,1,13478.9
United Kingdom,GBR,2009,1,37556.5
United States,USA,1960,1,15469.1
United States,USA,2009,1,41366.3
Uruguay,URY,1960,1,3151.8
Uruguay,URY,2009,1,6279.61
Venezuela,VEN,1960,1,5939.84
Venezuela,VEN,2009,0,6199.09
