Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q37,Q30,Q31,Q32,Q33,Q34,Q35,Q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight
.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,5,2,2,2,4,1,5,2,4,5,4,2,5,4,25.0,75.0,3,1,1,1,1,1,1,1,2,77.0,4,1,1,5,3,1,2,39,2,1,7,10,3,.,.,.,1,.,.,.,1,2,5,2,2,5,1132357289.0,2,2020-04-29T20:25:49.057,2020-04-30T04:14:30.256,2020-04-30T04:14:19.752,1.39278574306793
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,5,2,2,2,4,1,5,5,2,5,2,1,5,5,50.0,44.0,1,2,3,1,1,2,3,4,2,69.0,4,1,1,5,3,1,2,48,3,2,5,97,4,.,.,.,1,.,.,.,1,1,2,1,1,1,1132357553.0,1,2020-04-29T20:27:35.817,2020-04-30T05:35:09.428,2020-04-30T05:35:02.613,0.69834164646616
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,1,2,2,2,4,1,5,1,4,4,3,1,1,4,52.0,96.0,1,2,3,1,1,1,1,1,2,81.0,4,1,1,5,3,1,2,39,2,2,5,97,4,2,2,2,1,2,2,2,1,1,2,2,1,2,1132348331.0,2,2020-04-29T20:16:13.898,2020-04-30T19:04:13.429,2020-04-29T20:32:32.866,0.587680414398887
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,5,2,2,1,4,1,5,1,4,4,4,1,4,4,8.0,86.0,1,1,1,1,1,1,1,1,1,54.0,3,1,1,5,3,1,2,51,3,4,2,8,2,.,.,.,1,.,.,.,1,4,6,2,7,11,1132348543.0,1,2020-04-29T20:17:54.441,1970-01-01T00:00:00.000,2020-04-29T20:48:40.657,0.587022551400098
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,5,2,2,2,4,1,5,1,2,5,2,3,4,4,76.0,51.0,1,3,4,1,1,2,2,7,2,54.0,3,1,1,6,4,1,2,36,1,1,2,12,3,.,.,.,.,1,2,2,1,4,6,2,7,10,1132396767.0,1,2020-04-29T22:16:51.814,2020-04-29T22:29:52.020,2020-04-29T22:29:46.132,0.622956108501958
.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,5,2,2,2,4,1,5,3,4,5,3,3,3,4,3.0,76.0,2,1,1,1,1,1,1,2,2,46.0,3,1,1,6,4,1,2,34,1,2,1,10,3,2,2,2,2,1,1,1,2,4,6,2,7,9,1132397099.0,2,2020-04-29T22:20:18.910,2020-04-29T22:30:11.257,2020-04-29T22:30:05.678,1.35256007364278
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,5,2,2,2,4,1,6,5,3,5,2,2,5,3,66.0,52.0,1,3,4,1,1,2,3,5,1,70.0,4,1,1,6,4,1,2,47,3,3,5,9,2,.,.,1,.,.,.,.,1,1,1,1,1,1,1132396345.0,2,2020-04-29T22:13:26.864,2020-04-29T22:31:06.811,2020-04-29T22:31:06.176,0.5240057086402
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,1,1,1,4,4,5,2,1,1,1,1,1,2,67.0,71.0,2,3,4,1,1,2,3,5,2,37.0,2,1,1,5,3,1,1,45,3,1,1,8,2,.,.,.,.,1,.,.,1,2,4,2,5,2,1132382431.0,1,2020-04-29T21:30:20.134,2020-04-29T22:31:49.836,2020-04-29T22:31:38.121,1.22415444581513
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,4,3,2,4,2,3,4,4,53.0,49.0,1,2,3,1,1,1,3,4,1,73.0,4,1,1,6,4,1,2,9,1,2,5,97,4,.,.,1,.,.,.,.,1,4,6,2,6,11,1132396511.0,1,2020-04-29T22:14:33.913,2020-04-29T22:31:51.313,2020-04-29T22:31:45.143,0.57453804760483
1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,2,4,5,3,4,5,5,5.0,76.0,1,1,1,1,1,1,1,1,2,79.0,4,1,1,5,3,1,2,48,3,2,5,97,4,2,2,2,1,2,2,2,1,4,6,2,1,10,1132406197.0,1,2020-04-29T22:22:48.081,2020-04-29T22:32:09.336,2020-04-29T22:32:03.314,0.587680414398887
1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,1,6,2,4,2,4,1,2,3,35.0,94.0,1,1,2,1,1,1,3,3,1,68.0,4,1,1,6,4,1,2,20,2,1,5,11,3,2,2,2,1,2,2,2,1,3,6,2,7,10,1132400467.0,1,2020-04-29T22:20:57.274,2020-04-29T22:33:21.436,2020-04-29T22:33:17.775,0.57453804760483
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,3,1,4,5,2,4,2,4,2,3,80.0,62.0,2,3,4,1,1,2,3,5,1,77.0,4,1,1,4,2,4,2,17,2,3,5,97,4,.,.,1,.,.,.,.,1,2,5,2,2,2,1132405079.0,1,2020-04-29T22:21:49.388,2020-04-29T22:34:42.206,2020-04-29T22:34:28.983,1.6561624752207
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,4,2,2,2,4,1,5,3,2,5,2,3,5,5,51.0,65.0,1,2,3,1,1,1,3,3,1,67.0,4,2,2,5,3,1,2,27,2,2,5,97,4,.,.,1,.,.,.,.,1,3,5,2,5,11,1132406479.0,2,2020-04-29T22:23:43.265,2020-04-29T22:35:21.714,2020-04-29T22:35:21.015,0.544809949511074
.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,4,2,2,2,4,1,6,4,1,5,1,3,5,5,54.0,54.0,1,3,4,1,1,3,2,7,2,76.0,4,1,1,6,4,4,2,22,3,3,5,97,4,2,2,2,2,1,2,2,1,1,2,2,1,2,1132396403.0,2,2020-04-29T22:13:56.183,2020-04-29T22:35:22.460,2020-04-29T22:35:07.085,0.31666966069853
.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,2,4,1,5,1,3,5,3,2,5,5,53.0,63.0,1,2,3,1,1,1,1,2,1,67.0,4,1,1,3,2,6,2,33,1,4,5,4,1,.,.,.,1,.,.,.,1,4,6,2,7,11,1132265965.0,2,2020-04-29T22:26:41.485,2020-04-29T22:35:47.370,2020-04-29T22:35:46.735,0.703817200700294
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,3,4,1,5,1,5,5,2,1,4,3,31.0,86.0,1,2,3,1,1,1,4,4,2,49.0,3,6,4,6,4,1,2,26,2,2,1,11,3,.,.,.,1,.,1,.,.,2,4,2,3,11,1132396643.0,2,2020-04-29T22:15:46.196,2020-04-29T22:36:04.896,2020-04-29T22:36:04.173,0.524240686273447
1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,2,2,5,4,2,3,4,26.0,90.0,1,2,3,1,1,4,3,3,2,73.0,4,1,1,5,3,3,2,17,2,2,5,2,1,2,2,2,1,2,2,2,1,2,5,2,3,2,1132406065.0,1,2020-04-29T22:22:06.683,2020-04-29T22:36:19.120,2020-04-29T22:36:18.418,0.489025321542373
.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,4,2,1,2,4,6,4,3,3,3,3,3,3,3,88.0,88.0,2,3,5,1,1,2,2,7,2,71.0,4,1,1,3,2,1,2,48,3,2,5,7,2,.,.,.,1,.,.,.,1,1,2,1,1,1,1132407719.0,2,2020-04-29T22:32:18.601,2020-04-29T22:36:55.649,2020-04-29T22:36:51.487,2.20716532413817
.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,5,2,2,2,4,1,5,1,5,5,3,2,4,4,4.0,97.0,1,1,1,1,1,4,4,3,1,69.0,4,1,1,6,4,3,2,12,3,5,5,2,1,.,.,.,1,.,1,.,.,4,6,2,7,4,1132398201.0,2,2020-04-29T22:20:34.399,2020-04-29T22:36:59.753,2020-04-29T22:36:10.587,0.462738911922835
1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,2,5,4,4,1,4,4,17.0,84.0,1,1,1,1,1,1,1,1,2,80.0,4,1,1,6,4,1,2,37,3,2,5,9,2,.,.,.,1,.,.,.,1,3,5,2,5,2,1132096471.0,1,2020-04-29T22:18:06.804,2020-04-29T22:37:04.984,2020-04-29T22:36:57.014,0.587680414398887
1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,4,2,2,2,4,1,6,1,2,4,3,3,3,5,20.0,72.0,1,1,2,1,1,1,1,1,2,55.0,3,1,1,3,2,1,1,48,3,2,7,8,2,.,1,1,1,.,.,.,1,4,4,2,3,12,1132406903.0,1,2020-04-29T22:28:05.126,2020-04-29T22:37:43.638,2020-04-29T22:37:35.639,0.642202224629617
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,5,2,1,2,4,1,5,2,4,1,5,1,1,3,19.0,87.0,3,1,1,1,1,1,1,1,2,35.0,2,1,1,5,3,1,2,21,3,1,9,97,4,2,2,1,2,2,2,2,1,4,6,2,7,9,1131827869.0,2,2020-04-29T22:29:55.796,2020-04-29T22:38:10.941,2020-04-29T22:38:10.315,0.946295433666379
1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,2,2,4,3,2,2,5,26.0,76.0,2,1,2,1,1,1,1,2,2,76.0,4,1,1,5,3,1,2,27,2,1,5,12,3,.,.,.,.,1,.,1,.,1,2,1,3,1,1132406725.0,1,2020-04-29T22:26:18.568,2020-04-29T22:38:48.232,2020-04-29T22:38:42.124,1.51623688391703
1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,5,3,2,5,2,3,5,5,4.0,89.0,1,1,1,1,1,1,1,1,2,55.0,3,1,1,6,4,5,2,20,2,2,6,12,3,2,2,2,1,2,2,2,1,4,6,2,6,10,1132396987.0,1,2020-04-29T22:19:06.293,2020-04-29T22:38:53.610,2020-04-29T22:38:48.832,0.524240686273447
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,4,2,2,2,4,1,5,3,4,2,4,2,2,2,28.0,69.0,2,1,2,1,1,1,3,3,2,71.0,4,1,1,4,2,3,2,25,1,2,5,4,1,.,.,.,1,.,.,.,1,3,6,2,2,5,1132368447.0,2,2020-04-29T22:25:25.273,2020-04-29T22:39:14.571,2020-04-29T22:39:09.459,1.85741153903704
.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,4,2,2,2,4,1,5,3,2,4,2,2,4,4,89.0,56.0,1,3,4,1,1,2,2,7,1,71.0,4,1,1,3,2,4,2,53,4,4,5,5,1,.,.,.,.,1,.,.,1,2,5,2,3,1,1132367381.0,2,2020-04-29T22:20:35.765,2020-04-29T22:39:21.580,2020-04-29T22:39:20.741,0.641914373719223
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,3,2,2,2,4,1,6,5,1,5,2,4,4,4,52.0,52.0,1,2,3,1,1,2,3,5,2,57.0,3,5,4,6,4,3,2,5,3,4,1,11,3,.,.,.,.,1,.,.,1,1,3,2,3,2,1132407439.0,2,2020-04-29T22:29:35.116,2020-04-29T22:39:22.855,2020-04-29T22:39:19.236,0.622956108501958
.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,5,2,2,2,4,1,5,2,5,5,4,2,3,5,4.0,95.0,1,1,1,1,1,1,1,2,2,56.0,3,1,1,6,4,5,2,35,4,1,4,2,1,.,.,.,1,.,.,.,1,4,4,2,6,12,1130820863.0,2,2020-04-29T22:24:57.398,2020-04-29T22:40:45.340,2020-04-29T22:40:33.921,0.524240686273447
.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,5,2,2,2,4,1,5,1,2,5,2,1,4,5,75.0,49.0,1,3,4,1,1,2,4,4,1,75.0,4,1,1,4,2,1,2,48,3,1,5,8,2,.,.,1,.,.,1,.,.,1,3,1,2,1,1131716973.0,2,2020-04-29T22:23:39.899,2020-04-29T22:41:14.220,2020-04-29T22:41:13.433,0.641914373719223
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,4,2,2,1,4,1,4,1,3,3,3,3,4,3,49.0,91.0,2,4,6,1,1,1,1,1,2,72.0,4,2,2,3,2,5,2,45,3,2,5,3,1,.,.,.,.,1,.,.,1,1,4,2,1,2,1132396445.0,2,2020-04-29T22:14:13.981,2020-04-29T22:42:12.435,2020-04-29T22:42:02.573,1.75901333481873
1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,4,2,3,2,4,6,6,3,2,2,2,2,2,2,55.0,59.0,3,3,4,2,2,4,2,7,1,46.0,3,4,4,4,2,1,1,1,3,1,1,8,2,.,.,.,.,1,.,.,1,2,4,2,5,7,1131241957.0,1,2020-04-29T22:37:31.593,2020-04-29T22:42:54.812,2020-04-29T22:42:49.943,2.78838985899492
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,5,2,1,3,2,1,9,1,4,3,5,1,2,2,52.0,32.0,3,4,6,1,1,1,1,1,2,60.0,3,1,1,2,1,2,2,25,1,1,5,2,1,.,.,.,.,1,.,.,1,1,1,1,1,1,1132380495.0,1,2020-04-29T22:26:21.672,2020-04-29T22:43:40.003,2020-04-29T22:43:39.773,1.39478622307985
1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,1,5,4,4,1,3,2,19.0,92.0,2,1,2,1,1,1,5,3,1,77.0,4,7,4,6,4,1,2,12,3,1,5,97,4,.,.,.,1,.,.,.,1,2,4,2,8,12,1132406881.0,1,2020-04-29T22:27:48.954,2020-04-29T22:43:41.337,2020-04-29T22:43:40.765,1.48232909868737
1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,1,4,3,4,2,3,4,41.0,85.0,1,2,3,1,1,1,3,3,1,81.0,4,1,1,6,4,1,2,39,2,2,5,97,4,.,.,.,.,1,.,.,1,4,6,2,6,11,1132407567.0,1,2020-04-29T22:30:52.174,2020-04-29T22:44:01.881,2020-04-29T22:43:53.797,0.57453804760483
1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,1,5,5,5,1,3,5,38.0,76.0,1,1,2,1,1,1,1,1,2,67.0,4,1,1,3,2,3,2,6,4,2,5,1,1,.,.,.,1,.,.,.,1,4,6,2,3,10,1132406451.0,1,2020-04-29T22:23:32.625,2020-04-29T22:44:22.852,2020-04-29T22:44:18.019,0.719916785133617
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,1,5,4,3,4,3,4,4,4,61.0,64.0,1,3,4,1,1,2,2,6,1,64.0,3,1,1,4,2,1,2,18,2,2,5,8,2,2,2,1,1,2,2,2,1,3,5,2,3,1,1132407739.0,1,2020-04-29T22:32:32.820,2020-04-29T22:44:31.263,2020-04-29T22:44:24.890,0.655862940691146
.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,5,5,5,2,4,1,4,3,4,62.0,77.0,2,2,3,1,1,2,2,6,1,74.0,4,1,1,4,2,1,2,17,2,1,5,9,2,.,.,.,.,1,1,.,.,2,4,2,3,2,1132407649.0,2,2020-04-29T22:31:44.573,2020-04-29T22:45:57.842,2020-04-29T22:45:51.889,1.6561624752207
1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,5,2,1,2,4,1,6,1,3,5,4,2,3,3,6.0,79.0,1,1,1,1,1,1,3,3,2,45.0,3,6,4,6,4,1,2,17,2,2,1,8,2,.,.,.,1,.,.,.,1,4,6,2,7,12,1132401889.0,1,2020-04-29T22:35:50.925,2020-04-29T22:46:25.411,2020-04-29T22:46:24.665,0.524240686273447
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,5,2,2,2,4,1,5,2,3,3,4,1,1,2,42.0,51.0,1,2,3,1,1,1,1,1,1,50.0,3,2,2,5,3,5,2,39,2,1,1,4,1,.,.,1,.,.,.,.,1,1,4,1,6,1,1132357847.0,2,2020-04-29T20:29:35.215,2020-04-29T22:46:56.878,2020-04-29T22:46:56.237,0.556648472496149
.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,2,4,4,5,3,2,2,3,3,3,3,43.0,51.0,2,1,2,1,1,1,3,3,2,81.0,4,1,1,5,3,4,2,27,2,2,2,8,2,.,.,.,1,.,1,.,.,2,4,2,3,1,1132407853.0,2,2020-04-29T22:33:35.148,2020-04-29T22:47:02.682,2020-04-29T22:46:55.755,1.51623688391703
2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,1,5,1,4,3,4,2,2,2,75.0,66.0,2,3,5,1,1,2,2,7,1,77.0,4,1,1,5,3,1,2,37,3,4,9,4,1,2,2,2,1,2,.,.,1,2,5,1,3,1,1132395315.0,1,2020-04-29T22:06:41.032,2020-04-29T22:48:30.051,2020-04-29T22:48:04.775,1.35195382278654
2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,1,2,2,4,5,5,2,2,4,3,3,3,4,97.0,52.0,1,3,5,1,1,2,2,7,1,82.0,4,1,1,3,2,1,2,6,4,4,5,7,2,.,.,.,1,.,1,.,.,2,5,2,6,11,1132407425.0,1,2020-04-29T22:29:30.918,2020-04-29T22:48:39.254,2020-04-29T22:48:38.481,0.641914373719223
.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,2,2,1,2,4,2,5,2,3,5,2,2,3,3,65.0,74.0,1,3,4,1,1,1,3,3,2,63.0,3,1,1,3,2,1,2,17,2,1,5,7,2,.,.,.,.,1,.,.,1,1,5,1,1,1,1132408427.0,2,2020-04-29T22:35:44.059,2020-04-29T22:49:30.992,2020-04-29T22:49:23.214,0.642202224629617
1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,2,4,5,4,1,2,5,15.0,90.0,1,1,2,1,1,1,1,1,1,62.0,3,1,1,3,2,1,2,20,2,4,9,9,2,.,.,.,1,.,.,.,1,4,6,2,7,10,1132407957.0,1,2020-04-29T22:34:30.971,2020-04-29T22:50:43.562,2020-04-29T22:50:39.027,0.719110893694081
.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,5,2,2,2,3,1,5,2,3,3,2,3,3,2,85.0,51.0,2,3,4,1,1,2,2,7,1,59.0,3,1,1,3,2,1,2,20,2,2,6,9,2,2,2,2,2,1,2,2,1,1,6,2,3,11,1132407775.0,2,2020-04-29T22:32:48.772,2020-04-29T22:51:03.908,2020-04-29T22:50:59.541,1.69215028628677
.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,5,2,2,2,4,1,6,1,4,5,3,2,5,5,42.0,80.0,1,1,2,1,1,1,1,2,2,57.0,3,6,4,6,4,3,2,12,3,1,5,5,1,.,.,.,1,.,.,.,1,4,6,2,7,9,1132409337.0,2,2020-04-29T22:44:09.247,2020-04-29T22:51:13.590,2020-04-29T22:51:09.981,0.524240686273447
.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,5,2,2,2,4,1,5,1,5,5,2,2,5,4,26.0,90.0,1,1,2,1,1,1,1,1,1,76.0,4,1,1,4,2,3,2,17,2,2,5,10,3,.,.,1,1,.,.,.,1,4,6,2,7,10,1132407563.0,2,2020-04-29T22:30:48.519,2020-04-29T22:51:19.953,2020-04-29T22:51:19.411,0.703817200700294
.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,3,2,2,2,2,2,6,4,3,1,4,1,2,2,50.0,26.0,4,2,3,1,1,3,4,4,2,67.0,4,1,1,5,3,1,2,29,2,4,2,5,1,.,.,.,1,.,.,.,1,1,5,1,1,1,1132407521.0,2,2020-04-29T22:30:26.359,2020-04-29T22:51:26.204,2020-04-29T22:51:20.662,0.53148849499228
2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,1,6,3,4,5,3,2,5,5,100.0,54.0,1,3,5,1,1,2,4,4,1,76.0,4,1,1,5,3,1,2,42,1,2,1,97,4,.,.,1,.,.,.,.,1,1,2,2,4,2,1132408715.0,1,2020-04-29T22:37:41.027,2020-04-29T22:51:43.196,2020-04-29T22:51:42.544,0.5240057086402
1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,2,4,5,3,2,4,5,40.0,70.0,2,1,2,1,1,1,3,3,1,73.0,4,1,1,5,3,1,2,55,2,1,5,9,2,.,.,1,.,.,.,.,1,4,4,2,6,10,1132408377.0,1,2020-04-29T22:35:38.945,2020-04-29T22:51:46.179,2020-04-29T22:51:41.656,1.48232909868737
