,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q41a,q42a,q41b,q42b,q43a,q44a,q43b,q44b,q38,q25,q26,q27,q28,q29,q39,q40,q30,q31,q32,q33,q34,q35,q36,q45,q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight,gayadoption_per,gayadoption_court,acatax_per,acatax_court,acasev_per,acasev_court,azprovballot_per,azprovballot_court,azcollectballot_per,azcollectballot_court,donors_per,donors_court,schoolspeech_per,schoolspeech_court,juvcrime_per,juvcrime_court,databases_per,databases_court,ncaa_per,ncaa_court,covidchurch_per,covidchurch_court,unions_per,unions_court,agencies_per,agencies_court,warrants_per,warrants_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,gayadoption_scotus,acatax_scotus,acasev_scotus,azprovballot_scotus,azcollectballot_scotus,donors_scotus,schoolspeech_scotus,juvcrime_scotus,databases_scotus,ncaa_scotus,covidchurch_scotus,unions_scotus,agencies_scotus,warrants_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
2093,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,4,2,1,2,4,3,6,1,4,2,1,1,1,49,47,2,2,1,1,3,4,1,1,1,2,1,1,1,1962,58,3,1,1,2,1,1,2,48,3,2,1,6,6,2,.,.,.,1,.,2,2,1,2,4,6,2,6,2,1,43:46.1,57:45.0,57:40.1,1423938983,0.894980133,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,0,2,1,4,1,3,0,6,0,3,4,1,2,1,4,1,1,49,47,2,2,1,3,4,1,-0.180167024,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.202326285,0.495261907,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2094,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,4,1,2,1,2,1,6,3,3,1,3,3,2,48,71,2,5,2,1,1,2,1,1,2,6,1,1,1,1955,66,4,1,1,1,1,5,1,36,1,1,1,.,2,1,.,.,.,.,1,.,.,1,2,2,3,2,2,11,2,48:59.1,57:45.7,57:42.2,1423709103,0.9755404,1,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,0,2,1,1,0,2,0,1,0,6,0,1,4,3,1,3,3,3,2,48,71,2,5,2,1,2,2,0.262376293,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.234235298,0.463749724,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2095,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,3,2,2,2,4,5,5,3,5,2,3,5,5,47,48,5,5,3,5,1,2,2,2,3,4,2,6,1,1961,59,3,1,1,3,2,3,2,51,3,1,3,4,1,1,.,.,1,1,.,.,.,1,2,1,5,2,3,2,2,38:52.8,58:06.8,58:00.0,1423973051,1.250414014,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,4,1,5,1,5,0,5,3,3,2,3,5,5,5,47,48,5,5,3,1,2,3,0.745482044,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.725671938,0.725301174,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2096,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,3,1,1,1,4,1,7,4,3,3,4,3,3,98,98,3,3,2,2,3,4,1,1,3,5,1,2,1,1954,67,4,1,1,2,1,1,2,32,4,1,2,5,3,1,.,.,.,.,1,.,.,1,2,1,5,2,5,1,1,48:49.5,59:04.2,58:58.4,1423424399,0.741215587,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,0,1,0,1,0,4,1,1,0,7,0,1,3,4,3,4,3,3,3,98,98,3,3,2,3,4,3,-0.141274369,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.099548904,0.098917555,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2097,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,5,2,1,1,4,2,6,1,3,3,3,2,3,31,83,1,3,3,3,1,2,1,1,1,1,1,1,2,1959,62,3,3,3,6,4,4,2,6,4,2,1,1,97,4,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,42:43.4,59:20.1,59:19.2,1423691585,0.498266578,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,0,1,0,4,1,2,0,6,0,2,5,1,3,3,3,2,3,31,83,1,3,3,1,2,1,-1.30743716,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.290352229,-1.322028049,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2098,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,5,2,2,2,4,5,5,4,5,2,4,4,4,58,58,5,2,2,5,3,4,1,1,3,5,1,3,1,1948,72,4,1,1,4,2,1,2,41,4,4,1,5,6,2,.,.,1,1,.,.,.,1,1,1,1,1,1,1,2,36:41.2,59:20.5,59:19.8,1423644267,0.459646642,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,4,2,4,5,4,4,58,58,5,2,2,3,4,3,0.877880538,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.917855023,0.926747055,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2099,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,2,3,1,3,1,2,8,1,4,2,2,3,2,9,27,2,3,2,1,3,4,2,2,3,4,2,6,1,1996,24,1,1,1,2,1,5,2,36,1,1,1,.,2,1,.,.,.,.,1,.,.,1,2,4,6,2,7,6,2,56:55.4,59:33.8,59:31.0,1423985039,1.246823907,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,3,0,1,0,3,0,1,0,2,0,8,0,0,2,1,2,2,4,3,2,9,27,2,3,2,3,4,3,0.298948034,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.33164642,0.660649475,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2100,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,5,5,3,2,4,2,1,3,78,37,5,2,1,5,3,4,1,1,2,7,1,2,1,1970,50,3,1,1,3,2,3,1,6,4,2,2,6,3,1,.,.,1,1,.,.,.,1,2,2,5,2,1,2,2,43:56.8,01:06.0,01:05.2,1423381023,0.678369164,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,4,1,5,1,5,0,5,5,3,4,2,2,1,3,78,37,5,2,1,3,4,2,1.364061195,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.457224868,0.755185573,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2101,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,2,2,2,4,5,5,4,4,4,4,4,4,15,86,2,2,1,3,1,2,1,1,1,2,1,1,1,1956,64,3,1,1,3,2,4,2,47,3,1,2,5,2,1,2,2,1,2,2,.,.,1,1,1,2,1,1,1,1,44:10.2,01:35.7,01:29.5,1423959023,0.743058443,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,4,4,4,4,4,4,15,86,2,2,1,1,2,1,-1.052607898,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.04031339,-0.378831543,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2102,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,5,2,1,2,4,5,9,3,5,3,2,2,3,1,100,3,3,7,1,1,1,1,1,1,1,1,1,1,1993,27,1,1,1,2,1,5,2,13,3,2,1,6,1,1,.,.,.,1,1,.,.,1,2,1,5,2,1,1,1,40:18.8,01:44.9,01:44.7,1423973269,0.807180345,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,0,2,1,4,1,5,1,9,0,4,5,3,3,2,5,2,3,1,100,3,3,7,1,1,1,-0.206144448,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.193329603,-0.213930436,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
